kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Fantabulous Birthday,DarkD1,6 kyu,"Nov 11, 2018",19,4,750,22,1280,171,22,93,47,40,7,0,6.0,6 kyu,5 kyu,8 kyu,"Algorithms, Fundamentals, Mathematics, Numbers"
Lazy Init ,simosini,4 kyu,"Sep 12, 2017",66,20,1221,334,790,198,198,99,59,58,1,0,5.0,4 kyu,3 kyu,6 kyu,"Fundamentals, Metaprogramming, Advanced, Language, Features"
Set Closure Generator,ecolban,4 kyu,"Apr 25, 2017",17,4,291,39,336,40,40,100,16,16,0,0,3.0,4 kyu,3 kyu,5 kyu,"Algorithms, Streams"
Total Primes - Advanced Version,anter69,5 kyu,"Jul 9, 2019",12,1,231,4,497,28,26,96,12,11,1,0,3.0,5 kyu,5 kyu,5 kyu,"Algorithms, Performance"
The Crockford Invocation,user4386369,7 kyu,"Sep 25, 2016",6,5,1182,10,2143,741,622,80,111,79,20,12,17.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Functions, Control, Flow, Basic, Language, Features"
Reverse every other word in the string,Confettimaker,6 kyu,"Mar 26, 2017",62,29,6610,613,27965,4115,"1,939",91,716,604,93,19,103.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Arrays, Loops, Control, Flow, Basic, Language, Features"
Sentence Smash,richardhsu,8 kyu,"Aug 1, 2014",210,85,30654,1344,61662,23950,"10,030",89,2747,2231,452,64,,,,,"Fundamentals, Loops, Control, Flow, Basic, Language, Features, Conditional, Statements, Strings, Arrays"
Jaden Casing Strings,jacobb,7 kyu,"Jun 5, 2014",1323,184,231049,23597,419403,103975,"32,662",86,12381,9271,2825,285,,,,,"Fundamentals, Strings, Arrays"
Simple Fun #303: Prime Product,myjinxin2015,6 kyu,"May 24, 2017",41,13,1270,37,2440,460,283,94,120,107,11,2,5.0,6 kyu,5 kyu,7 kyu,Fundamentals
Simple Simple Simple String Expansion,alansun,6 kyu,"Apr 27, 2018",71,20,2623,145,7582,1363,548,93,313,271,41,1,11.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Basic, Language, Features, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
LCM Cardinality,DarkD1,6 kyu,"Jan 21, 2019",12,1,512,33,573,83,25,96,34,31,3,0,4.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Numbers"
Counting Change Combinations,leakymirror,4 kyu,"Sep 18, 2014",830,126,20215,6921,31476,4814,42,92,548,469,71,8,,,,,"Puzzles, Games, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science, Functions, Control, Flow, Basic, Language, Features, Fundamentals"
Simple Fun #189: Plant Doubling,myjinxin2015,7 kyu,"Mar 8, 2017",9,8,688,15,984,286,85,95,94,84,10,0,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Name to Matrix,Coder_38,6 kyu,"Feb 24, 2018",11,3,835,6,1838,480,81,93,157,136,21,0,5.0,6 kyu,6 kyu,7 kyu,"Algorithms, Strings, Arrays"
The Takeuchi function,KenKamau,6 kyu,"Jul 9, 2019",8,2,276,30,189,28,18,85,13,10,2,1,6.0,6 kyu,5 kyu,8 kyu,Fundamentals
Nut Farm,dinglemouse,6 kyu,"Aug 8, 2017",56,19,1075,42,2160,473,118,96,157,146,11,0,8.0,6 kyu,5 kyu,7 kyu,"Algorithms, Strings"
Simple Interactive Interpreter,Wintermute,1 kyu,"Feb 16, 2014",693,149,14924,1617,27715,1545,740,94,346,312,29,5,,,,,"Algorithms, Interpreters"
Exes and Ohs,joh_pot,7 kyu,"Jun 29, 2015",872,193,173798,15760,386785,106609,"36,547",88,12686,9843,2620,223,,,,,Fundamentals
Discover The Original Price,ahamidou,7 kyu,"Apr 8, 2015",50,14,6715,917,23793,4041,663,89,859,693,145,21,122.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Arithmetic, Mathematics, Algorithms"
Langton's ant,St3f4n,5 kyu,"Apr 6, 2017",57,19,1164,182,2563,265,94,97,77,73,3,1,10.0,5 kyu,5 kyu,6 kyu,"Algorithms, Recursion, Computability, Theory, Theoretical, Computer, Science, Turing, Machines, Computational, Science"
Alphabetized,kop,6 kyu,"Jul 20, 2017",81,30,3988,108,15350,1726,679,91,371,312,51,8,13.0,6 kyu,5 kyu,7 kyu,"Puzzles, Strings, Sorting, Algorithms"
Two cube sums,hhelwich,6 kyu,"Sep 19, 2015",53,5,2246,405,6349,755,192,90,107,86,20,1,,,,,"Fundamentals, Numbers, Arithmetic, Mathematics, Algorithms"
6 By 6 Skyscrapers,FrankK,2 kyu,"Dec 22, 2015",580,123,8708,1437,12167,1545,163,98,411,398,12,1,6.0,1 kyu,1 kyu,3 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Games, Arrays"
Give me a Diamond,jayeshcp,6 kyu,"Mar 13, 2015",1035,184,71213,19569,148171,20028,"4,537",86,2665,2021,553,91,,,,,"Fundamentals, Strings"
Simple Fun #79: Delete a Digit,myjinxin2015,6 kyu,"Feb 3, 2017",65,26,3917,204,11730,2313,928,94,473,424,43,6,11.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Validate Credit Card Number,mcclaskc,6 kyu,"Sep 16, 2014",537,93,26273,5606,86768,10602,546,92,1292,1092,181,19,,,,,"Algorithms, Validation"
Average Array,K-Calderon-ASC,7 kyu,"Jul 20, 2017",27,19,2588,64,6031,1311,666,90,298,248,40,10,11.0,6 kyu,6 kyu,7 kyu,Fundamentals
Averaging in an Infinite Array,At1029,6 kyu,"Jul 5, 2019",2,1,362,12,430,54,12,91,27,24,1,2,7.0,5 kyu,3 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
Delta Bits,ykagan,7 kyu,"May 31, 2014",61,13,5128,961,12677,2697,638,91,411,345,60,6,,,,,"Algorithms, Bits, Binary, Utilities"
Cogs,dinglemouse,7 kyu,"Oct 14, 2017",15,2,1389,30,3548,586,122,93,182,159,20,3,6.0,7 kyu,7 kyu,8 kyu,Fundamentals
Simpler Interactive Interpreter,Wintermute,2 kyu,"Feb 16, 2014",555,122,8124,2335,25078,1849,807,94,373,335,30,8,,,,,"Algorithms, Interpreters, Expressions, Basic, Language, Features, Fundamentals, Operators, Parsing, Strings"
Whitespace Interpreter,jacobb,2 kyu,"Jan 27, 2014",419,61,5583,1992,35851,755,338,90,210,180,19,11,,,,,"Algorithms, Esoteric, Languages, Interpreters"
Reverse words,jnicol,7 kyu,"Oct 12, 2013",697,165,76678,8935,198902,37805,"16,588",89,4135,3347,696,92,,,,,"Fundamentals, Strings"
Football - Yellow and Red Cards,RazNaot,6 kyu,"May 18, 2019",37,6,1375,34,8911,473,263,92,116,101,12,3,9.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures"
Promenade Fractions (from BIO 2016),Daniel Ray,6 kyu,"Jun 17, 2018",10,5,321,73,241,87,70,92,24,20,4,0,3.0,6 kyu,6 kyu,7 kyu,Puzzles
Sort odd and even numbers in different order,abdoMous,6 kyu,"Nov 28, 2017",27,12,1885,42,3673,881,452,91,225,195,21,9,4.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays"
How many arguments,iozoo,7 kyu,"Jan 20, 2019",29,20,6218,141,12164,4144,"1,452",88,597,469,108,20,13.0,7 kyu,7 kyu,8 kyu,Fundamentals
Radix Tree,suic,6 kyu,"Apr 2, 2019",20,14,414,12,582,58,38,93,15,13,2,0,5.0,5 kyu,5 kyu,7 kyu,"Algorithms, Data, Structures"
Data compression using run-length encoding,HeavyHenke,6 kyu,"Jul 17, 2016",28,27,1597,34,3789,806,88,95,192,177,11,4,10.0,6 kyu,5 kyu,7 kyu,Algorithms
Scaling Squared Strings,g964,7 kyu,"Mar 19, 2016",88,5,6232,1280,11760,2309,130,91,437,370,59,8,,,,,Fundamentals
Categorize New Member,Brynx,7 kyu,"Mar 13, 2015",643,113,134958,15355,195489,67326,"29,117",88,8391,6611,1623,157,,,,,"Fundamentals, Rules"
Numerical Palindrome #4,kkavita92,6 kyu,"Apr 1, 2017",16,2,725,25,2344,397,143,96,135,124,10,1,10.0,6 kyu,5 kyu,7 kyu,Fundamentals
Numerical Palindrome #3 ,kkavita92,6 kyu,"Apr 1, 2017",13,3,608,43,1267,317,105,96,117,107,10,0,11.0,6 kyu,5 kyu,7 kyu,Fundamentals
Numerical Palindrome #1.5,kkavita92,6 kyu,"Apr 2, 2017",19,6,994,59,2503,603,250,95,204,184,18,2,12.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Loops, Control, Flow, Basic, Language, Features"
Numerical Palindrome #2 ,kkavita92,6 kyu,"Mar 31, 2017",28,2,921,39,3396,447,178,94,161,143,16,2,10.0,6 kyu,6 kyu,7 kyu,Fundamentals
Proof Read ,kkavita92,6 kyu,"Nov 28, 2016",13,7,1031,8,4467,692,399,92,179,158,15,6,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings"
Parity bit - Error detecting code,pshp,6 kyu,"Dec 2, 2016",11,4,777,32,1792,448,182,92,119,101,16,2,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Algorithms, Binary, Strings"
Leap Years,BattleRattle,7 kyu,"Oct 27, 2013",64,24,11396,539,32466,8679,"4,501",89,881,712,148,21,,,,,"Algorithms, Dates, Time"
Forgiving Numbers,raulbc777,7 kyu,"Apr 20, 2019",5,0,312,15,197,58,58,72,25,15,6,4,6.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Data, Structures, Algorithms, Mathematics, Numbers"
Combinations in a Set Using Boxes II,raulbc777,5 kyu,"Aug 1, 2018",6,2,220,62,98,13,11,100,4,4,0,0,3.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Performance, Algorithms, Mathematics, Numbers, Machine, Learning, Applied, Computer, Science, Arithmetic"
Build a square,Capocaccia,7 kyu,"Sep 1, 2017",54,14,7006,234,17384,4625,"1,897",91,730,610,104,16,14.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features, Conditional, Statements"
Slices of a Series of Digits,noku,6 kyu,"Aug 24, 2014",6,2,496,18,1549,291,99,85,101,78,16,7,41.0,6 kyu,5 kyu,7 kyu,"Algorithms, Data, Structures"
Find Duplicates ,loickreitmann,7 kyu,"May 17, 2015",57,15,4713,157,15483,2461,"1,569",89,451,376,55,20,,,,,"Fundamentals, Arrays, Utilities"
RoboScript #1 - Implement Syntax Highlighting,donaldsebleung,6 kyu,"Jan 7, 2017",170,61,4777,807,15199,2185,700,90,437,358,72,7,10.0,6 kyu,5 kyu,7 kyu,Fundamentals
Binary scORe,NaMe613,7 kyu,"Feb 26, 2016",40,4,1354,83,3686,542,192,91,125,107,13,5,,,,,"Algorithms, Binary"
Replace With Alphabet Position,MysteriousMagenta,6 kyu,"Nov 21, 2014",1713,263,185584,25470,441270,85382,"38,285",90,10826,8731,1954,141,,,,,"Fundamentals, Strings"
Compare section numbers,ecolban,6 kyu,"Nov 14, 2016",22,11,1014,32,2333,387,225,90,122,101,18,3,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Iterators, Control, Flow, Object, Programming, Basic, Language, Features"
Find the 2nd largest integer in array,nakulgupta18,7 kyu,"Jul 14, 2015",22,7,1869,62,7377,941,314,88,222,172,48,2,,,,,Fundamentals
Valid Phone Number,xDranik,6 kyu,"Oct 17, 2013",210,65,22968,4256,76743,12512,"4,223",87,1409,1079,280,50,25.0,5 kyu,5 kyu,7 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings, Validation"
Matrix Rotation,cyril-lemaire,6 kyu,"Jun 12, 2017",20,10,793,36,1306,297,101,93,99,86,12,1,10.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Graphs, Data, Structures"
Counting String Subsequences,hermanschaaf,4 kyu,"Feb 9, 2014",50,12,1140,258,1757,154,77,92,58,51,5,2,10.0,4 kyu,3 kyu,8 kyu,"Algorithms, Dynamic, Programming, Strings"
Hex to Decimal,wichu,8 kyu,"Aug 5, 2016",151,54,17252,810,26345,10264,216,89,1727,1384,290,53,,,,,"Fundamentals, Decimals, Numbers"
Data Reverse,sataman,6 kyu,"Jan 19, 2016",241,86,18033,4238,34822,8386,780,91,1264,1057,192,15,40.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Arrays"
Sum of a sequence,fyvfyv,7 kyu,"Jan 6, 2017",244,77,33350,4931,66439,19066,"6,227",86,2513,1899,548,66,15.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science, Loops, Control, Flow, Basic, Language, Features"
What time is it?,northms,7 kyu,"Jun 28, 2016",32,7,1578,13,5249,806,383,88,177,141,29,7,8.0,7 kyu,6 kyu,8 kyu,Fundamentals
Friend or Foe?,Aweson1,7 kyu,"Jul 26, 2015",460,90,102841,8571,185260,70465,"29,616",87,8613,6561,1792,260,231.0,7 kyu,2 kyu,8 kyu,Fundamentals
Pernicious Numbers,AcesOfGlory,7 kyu,"Mar 10, 2016",13,4,913,20,1677,395,191,90,114,93,19,2,,,,,"Algorithms, Arrays, Binary, Sequences"
Connect Four,aryan-firouzian,4 kyu,"Jan 2, 2016",602,127,14051,4885,50882,2842,503,92,560,478,73,9,8.0,4 kyu,3 kyu,6 kyu,Fundamentals
Odds-Index,Coder_38,7 kyu,"Feb 26, 2018",4,5,1530,21,2559,1013,136,89,246,199,41,6,16.0,7 kyu,7 kyu,8 kyu,Algorithms
Sum of all the multiples of 3 or 5,wichu,7 kyu,"Oct 4, 2016",188,58,27458,3785,50751,16429,"6,088",89,2226,1768,420,38,12.0,7 kyu,5 kyu,8 kyu,Fundamentals
String Scramble,Dragoris,7 kyu,"Dec 8, 2016",38,10,2622,78,5518,1452,796,91,320,274,37,9,8.0,7 kyu,7 kyu,7 kyu,"Fundamentals, Strings, Arrays"
Command line parameters,Nakilon,6 kyu,"May 6, 2014",8,1,715,153,1470,232,120,86,89,69,15,5,27.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Strings"
Find out whether the shape is a cube,Nukeman,8 kyu,"Mar 22, 2017",43,22,7723,156,21591,6031,"2,494",88,1081,850,206,25,39.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Shape, Modeling, Graphics"
Last Digit to Appear in Sequence of Powers,RazNaot,7 kyu,"May 6, 2019",15,3,782,23,1410,230,212,89,72,58,12,2,8.0,7 kyu,6 kyu,8 kyu,Fundamentals
Algorithm Fun: Find The Unknown Number - Part I,myjinxin2015,7 kyu,"Sep 29, 2017",5,2,1108,10,1829,741,454,91,151,125,25,1,6.0,7 kyu,7 kyu,7 kyu,Algorithms
Moves in squared strings (IV),g964,6 kyu,"Mar 6, 2016",81,39,4756,1798,3315,861,49,93,245,215,25,5,,,,,Fundamentals
Recursive Replication,karthikiyengar,7 kyu,"Jun 5, 2016",57,23,3094,31,10111,1962,"1,235",87,308,242,49,17,,,,,"Algorithms, Recursion, Computability, Theory, Theoretical, Computer, Science"
Evening up a workload,ChristianECooper,6 kyu,"Nov 11, 2015",18,8,591,25,2802,304,214,90,94,78,13,3,11.0,6 kyu,6 kyu,7 kyu,"Algorithms, Collections, Lists, Data, Structures"
Valid Braces,xDranik,6 kyu,"Nov 5, 2013",1738,365,100338,18061,302157,37907,"11,522",91,4708,3961,670,77,,,,,"Algorithms, Validation, Utilities"
Sexy Primes <3,Alpri Else,7 kyu,"Feb 6, 2016",25,3,1460,38,7629,860,372,86,169,130,32,7,,,,,"Fundamentals, Conditional, Statements, Control, Flow, Basic, Language, Features"
"99 Problems, #1: last in list",spencerwi,7 kyu,"Sep 13, 2016",7,8,2097,50,4395,1638,125,87,313,238,66,9,9.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Lists, Data, Structures"
Tower of Hanoi,jvmorren,7 kyu,"Feb 7, 2017",12,5,1475,30,1713,819,218,90,224,184,35,5,12.0,7 kyu,5 kyu,8 kyu,"Puzzles, Games, Mathematics, Algorithms, Numbers"
Count the number of cubes with paint on,jackchambers,8 kyu,"Jun 17, 2016",89,29,7951,196,11478,3606,"1,248",84,679,515,108,56,,,,,"Puzzles, Games"
Ultimate Array Reverser,jaybruce1998,7 kyu,"Jan 8, 2019",61,19,3255,46,7066,1832,367,94,320,283,35,2,6.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Algorithms"
5x5 Nonogram Solver,Avanta,4 kyu,"Dec 30, 2017",171,53,1568,388,2398,222,190,99,70,68,2,0,3.0,4 kyu,3 kyu,5 kyu,"Algorithms, Validation, Games, Numbers, Multi, Dimensional, Arrays, Arrays, Object, Programming"
The Office V - Find a Chair ,PG1,6 kyu,"Oct 6, 2016",32,13,2206,132,10083,1012,484,92,277,242,26,9,19.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Strings"
Word Segmentation: MaxMatch,ewingsa,6 kyu,"Nov 7, 2018",45,18,1878,56,3760,561,213,93,140,124,13,3,5.0,6 kyu,5 kyu,7 kyu,"Algorithms, Parsing, Strings, Recursion, Computability, Theory, Theoretical, Computer, Science, Basic, Language, Features, Fundamentals, Loops, Control, Flow, Arrays"
Level Up!,NULLHE4D,6 kyu,"Jun 14, 2017",16,11,500,4,1205,131,131,79,36,23,11,2,6.0,6 kyu,5 kyu,7 kyu,"Algorithms, Arithmetic, Mathematics, Numbers, Iterators, Control, Flow, Object, Programming, Basic, Language, Features, Fundamentals"
Is Sator Square?,rowcased,7 kyu,"Apr 17, 2019",3,2,427,2,1991,133,26,90,50,41,8,1,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Arrays, Data, Structures, Sequences"
Positions of a substring in a string,g964,5 kyu,"Oct 27, 2017",14,5,400,19,431,46,6,100,16,16,0,0,3.0,5 kyu,5 kyu,5 kyu,"Fundamentals, Strings"
The Office I - Outed,PG1,7 kyu,"Sep 29, 2016",54,29,5205,109,21470,3015,"1,747",90,580,480,79,21,9.0,7 kyu,7 kyu,7 kyu,"Fundamentals, Arrays, Functions, Control, Flow, Basic, Language, Features, Objects, Numbers"
The Office II - Boredom Score,PG1,7 kyu,"Sep 29, 2016",38,23,3701,57,7411,2346,"1,347",90,499,409,76,14,9.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Objects, Arrays"
Offload your work!,KDaryl,7 kyu,"Jul 5, 2018",15,11,2250,46,5914,1219,122,90,242,202,34,6,8.0,7 kyu,7 kyu,8 kyu,Fundamentals
Simple Fun #23: Square Digits Sequence,myjinxin2015,6 kyu,"Jan 24, 2017",32,14,1595,38,3400,878,262,96,239,219,19,1,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Traffic Count During Peak Hours,BrianC,7 kyu,"Jan 5, 2017",9,3,564,13,1004,366,332,93,125,109,15,1,22.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures, Numbers"
Simple Fun #116: Prime String,myjinxin2015,6 kyu,"Feb 10, 2017",28,20,1647,47,4514,698,188,91,173,146,24,3,7.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Is It Negative Zero (-0)?,user2420289,7 kyu,"Jan 29, 2019",35,-8,4855,187,15796,2712,839,84,531,387,120,24,6.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers, Basic, Language, Features"
Fizz Buzz Cuckoo Clock,tachyonlabs,7 kyu,"Dec 7, 2016",98,32,5671,714,11378,2568,520,92,506,427,72,7,11.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Dates, Time"
Upside-Down Pyramid Addition...REVERSED!,Whimpers,6 kyu,"Apr 25, 2019",25,21,1057,23,2687,425,190,92,93,78,15,0,4.0,6 kyu,6 kyu,7 kyu,"Algorithms, Mathematics, Numbers"
Explosive Sum,surtich,4 kyu,"Jan 31, 2014",949,161,23660,9384,26205,3839,"1,312",90,548,453,76,19,,,,,"Fundamentals, Algorithms, Numbers, Arithmetic, Mathematics, Integers"
Reducing a pyramid,FArekkusu,6 kyu,"Apr 26, 2019",18,3,609,17,1846,108,66,78,47,33,7,7,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Performance"
Who is going to pay for the wall?,mamafrantz,8 kyu,"Mar 15, 2017",76,19,10147,208,20846,6188,501,88,1136,905,184,47,74.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Path Finder #4: where are you?,evk,4 kyu,"Nov 10, 2017",76,36,2703,537,7811,267,78,89,88,71,14,3,5.0,4 kyu,4 kyu,5 kyu,Puzzles
The Ladies of ENIAC,nogainbar,7 kyu,"Feb 28, 2016",18,8,1538,20,3163,1210,563,92,244,212,27,5,,,,,"Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Exclamation marks series #6: Remove n exclamation marks in the sentence from left to right,myjinxin2015,8 kyu,"Oct 10, 2016",160,40,13850,371,31803,8608,"3,230",92,1384,1191,170,23,8.0,7 kyu,7 kyu,8 kyu,Fundamentals
I love big nums and I cannot lie,joh_pot,6 kyu,"Oct 5, 2015",58,14,1782,106,5816,384,179,92,112,99,10,3,,,,,"Algorithms, Numbers, Strings, Arrays"
Arithmetic Sequence!,zenAndroid,7 kyu,"Sep 17, 2014",61,14,10688,1202,12096,6424,"1,472",82,366,259,80,27,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Arithmetic"
'Magic' recursion call depth number,Iyoo,4 kyu,"Dec 20, 2018",14,6,426,145,564,41,6,95,10,9,1,0,3.0,4 kyu,3 kyu,7 kyu,Algorithms
RoboScript #5 - The Final Obstacle (Implement RSU),donaldsebleung,1 kyu,"Nov 27, 2017",81,28,1294,203,5682,231,117,96,74,69,4,1,3.0,1 kyu,1 kyu,3 kyu,"Algorithms, Compiler, Theory, Interpreters"
Minimum Ticket Cost,DarkD1,7 kyu,"Nov 2, 2018",25,4,1379,51,1453,358,67,82,94,70,15,9,9.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Blocks in an Irregular Pyramid,Trouv,6 kyu,"Apr 5, 2019",18,6,771,23,2327,184,101,75,53,33,13,7,5.0,6 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
Bouncy Numbers,datagram,7 kyu,"Jun 21, 2016",6,4,656,25,1304,339,305,92,123,106,14,3,18.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Mathematics, Algorithms, Arithmetic"
Functional Addition,amrdraz,7 kyu,"May 30, 2014",143,45,18880,1871,25208,10779,"5,797",85,938,705,181,52,,,,,"Fundamentals, Functional, Programming, Declarative, Programming"
Special Subsets of Primes,raulbc777,6 kyu,"Aug 21, 2015",5,4,307,56,590,53,41,92,26,23,2,1,8.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Algorithms, Mathematics, Numbers, Data, Structures"
Vowel Recognition,DarkD1,6 kyu,"Nov 15, 2018",76,22,2151,96,5256,559,81,93,164,143,18,3,6.0,6 kyu,6 kyu,8 kyu,"Algorithms, Performance"
Simple maze,eugene-katsevman,4 kyu,"Feb 10, 2016",71,31,1926,555,5080,427,306,95,132,120,11,1,6.0,4 kyu,4 kyu,6 kyu,"Algorithms, Queues, Arrays, Recursion, Computability, Theory, Theoretical, Computer, Science"
Multisize Nonogram Solver,Avanta,1 kyu,"Jan 10, 2018",63,5,1111,107,1258,88,36,93,15,13,2,0,3.0,1 kyu,1 kyu,1 kyu,"Algorithms, Optimization, Games, Multi, Dimensional, Arrays, Arrays"
Sum Factorial,Alpri Else,7 kyu,"Feb 3, 2016",9,7,1148,6,1941,851,660,90,200,166,27,7,,,,,Algorithms
The Rubik's Cube,sgerodes,5 kyu,"Jul 5, 2018",24,9,245,2,435,19,19,100,9,9,0,0,4.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games, Algorithms, Geometry, Algebra, Mathematics"
RegEx Like a Boss #4 CodeGolf : Prime length,sgerodes,5 kyu,"Jan 2, 2019",13,3,315,10,564,60,60,91,17,15,1,1,7.0,6 kyu,5 kyu,8 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
"Cat Kata, Part 1",tachyonlabs,6 kyu,"Jan 2, 2017",69,28,3688,1197,7320,1090,240,94,260,231,29,0,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
The simplest path,sebaas,6 kyu,"Feb 11, 2016",14,2,358,18,963,75,14,95,28,25,3,0,4.0,6 kyu,4 kyu,8 kyu,Algorithms
Array - squareUp b!,Jomo Pipi,7 kyu,"Feb 20, 2018",27,5,1968,44,3670,783,208,91,204,172,28,4,4.0,7 kyu,7 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Games, Arrays"
Regex Tic Tac Toe Win Checker,tachyonlabs,6 kyu,"Nov 17, 2016",69,33,2143,241,4025,802,245,93,206,183,19,4,13.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Games, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
Fibonacci Reloaded,BattleRattle,6 kyu,"Oct 9, 2013",36,10,2166,196,5847,1256,707,86,259,202,41,16,,,,,Algorithms
Langton's Ant - Advanced Version,anter69,5 kyu,"Mar 25, 2019",11,2,256,61,156,17,17,100,7,7,0,0,3.0,6 kyu,5 kyu,7 kyu,"Algorithms, Mathematics, Numbers, Performance"
Clone Graph,tachyonlabs,6 kyu,"Mar 28, 2019",8,5,247,3,311,58,58,83,18,13,4,1,4.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Graphs, Data, Structures"
"Roman numerals, Zeroes and Fractions",ChristianECooper,5 kyu,"Jun 18, 2015",13,2,274,25,889,105,100,99,38,37,1,0,5.0,5 kyu,4 kyu,6 kyu,"Algorithms, Validation"
Devil's Sequence,Iprit,5 kyu,"Nov 8, 2016",35,5,585,34,3276,71,49,92,25,22,2,1,3.0,5 kyu,5 kyu,5 kyu,"Algorithms, Mathematics, Numbers"
Mahjong - #2 Seven-pairs,Hacker Sakana,3 kyu,"Jan 24, 2016",33,14,759,346,1094,74,50,100,14,14,0,0,5.0,3 kyu,2 kyu,4 kyu,"Algorithms, Games"
Kata 2019: Fibonacci Bus,myjinxin2015,6 kyu,"Jan 2, 2019",11,1,312,14,264,57,21,86,18,15,1,2,6.0,6 kyu,4 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
Double Even Magic Square,Abelard_Snazz,6 kyu,"Apr 14, 2016",8,5,440,121,425,86,86,96,28,26,2,0,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Fundamentals, Games, Arrays, Numbers, Mathematics, Algorithms"
Find the force of gravity between two objects,FiveCrayFish973,8 kyu,"Aug 4, 2018",82,20,5912,135,15418,1742,576,69,357,213,66,78,4.0,8 kyu,8 kyu,8 kyu,Algorithms
15x15 Nonogram Solver,Bubbler,2 kyu,"Jan 7, 2018",91,13,1221,396,1569,163,135,99,55,54,1,0,3.0,2 kyu,2 kyu,2 kyu,"Puzzles, Games, Performance"
Return pyramids,josemanuel.rincon,7 kyu,"Nov 27, 2017",18,6,1656,27,3451,681,339,89,184,150,27,7,6.0,7 kyu,7 kyu,7 kyu,"Puzzles, Strings"
The Greatest Warrior,BurstNova,4 kyu,"Jun 15, 2017",346,93,5189,1643,28053,1710,467,92,363,317,35,11,4.0,4 kyu,4 kyu,5 kyu,"Algorithms, Classes, Basic, Language, Features, Object, Programming, Fundamentals, Rules"
